problem_id	description	regex	pos_examples	neg_examples
b-1_t-cat_id-12	"a list of 5 strings . the first string consist of 3 + "" h "" and second string consist of 1 - 3 "" O "" that is optional and third string consist of 2 digit and fourth string consist of 3 - 4 capital and final string consist of 3 + "" h "" ."	concat ( repeatatleast ( <h> , 3 ) , concat ( optional ( repeatrange ( <O> , 1 , 3 ) ) , concat ( repeat ( <num> , 2 ) , concat ( repeatrange ( <cap> , 3 , 4 ) , repeatatleast ( <h> , 3 ) ) ) ) )	hhhhhhO69MWIhhhh hhhhhO22BFNhhhhhhhhh hhh27TZSIhhhhhhhhhh hhh25SNYChhhh hhhhhhO30OIShhhhhhh hhhh42ATPhhh	hhhhhhhhOOO12NSOIhh hhh18GOICKhhh hhhhO323FAThhhhhhh hhhhO91RAQNQhhhhh hh59NVDhhhh hhhhhhhhhOO60FQCPhh
b-1_t-cat_id-13	"there are the only 2 part of the strings . the first part of the string consist 2 or more "" n "" . the next part of the contains the 1 to 4 lowercase ."	concat ( repeatatleast ( <n> , 2 ) , repeatrange ( <low> , 1 , 4 ) )	nnbd nnnnnz nnnnnnehnm nnnnnnnnnnnn nnnnnnnnnnnnnqm nnnnnnnnnnnnnnnn	ndvre nnnnnnnnnnnvyenp nffs nv
b-1_t-cat_id-13	"a string which starts with more than 2 letters "" n "" and it ends with 1 to 4 lowercase letters"	concat ( repeatatleast ( <n> , 2 ) , repeatrange ( <low> , 1 , 4 ) )	nnbd nnnnnz nnnnnnehnm nnnnnnnnnnnn nnnnnnnnnnnnnqm nnnnnnnnnnnnnnnn	ndvre nnnnnnnnnnnvyenp nffs nv
b-1_t-cat_id-14	a string starts with 4 lowercase characters and ends with a capital letter . in between , there is another sequence of 4 lowercase characters , preceded by 1 or 2 letters and followed by 3 or 4 extra letters .	concat ( repeat ( <low> , 4 ) , concat ( repeatrange ( <let> , 1 , 2 ) , concat ( repeat ( <low> , 4 ) , concat ( repeatrange ( <let> , 3 , 4 ) , <cap> ) ) ) )	ymxmDghcaaEeO xvbunSfuumGYzHC xvbunSfuumGYFGX ymxmDghcaawlI qqehuKbwumZhyC xvbunSfuumGYzaM	fxifEkgudfJy krbaGeKsqdvqIUP mfwpmdOqpxmEQOQK tvwlkHfzqnmjHn twoziJPlbenFguR yuuyDljdNCGTF
b-1_t-cat_id-14	the string starts with 4 lowercase letters followed by 1 to 2 letters and then 4 lowercase letters after which there are 3 to 4 letters . the string ends with a capital letter .	concat ( repeat ( <low> , 4 ) , concat ( repeatrange ( <let> , 1 , 2 ) , concat ( repeat ( <low> , 4 ) , concat ( repeatrange ( <let> , 3 , 4 ) , <cap> ) ) ) )	ymxmDghcaaEeO xvbunSfuumGYzHC xvbunSfuumGYFGX ymxmDghcaawlI qqehuKbwumZhyC xvbunSfuumGYzaM	fxifEkgudfJy krbaGeKsqdvqIUP mfwpmdOqpxmEQOQK tvwlkHfzqnmjHn twoziJPlbenFguR yuuyDljdNCGTF
b-1_t-cat_id-18	"a list of 2 strings . first string consist of 1 or more digit numeric . last string consist of "" NU "" or "" DG "" that is optional"	concat ( repeatatleast ( <num> , 1 ) , optional ( or ( const ( <NU> ) , const ( <DG> ) ) ) )	60866077 88NU 441482789193022NU 12905763316935NU 1901147360 77856340589691620NU	49440156991124WJ DG 6999950493417118ZCZ 56656431929230750WJ 8315ZCZ 1747486ZCZ
b-1_t-cat_id-18	"a string that starts with 1 or more digits and optionally ends with "" NU "" or "" DG "" ."	concat ( repeatatleast ( <num> , 1 ) , optional ( or ( const ( <NU> ) , const ( <DG> ) ) ) )	60866077 88NU 441482789193022NU 12905763316935NU 1901147360 77856340589691620NU	49440156991124WJ DG 6999950493417118ZCZ 56656431929230750WJ 8315ZCZ 1747486ZCZ
b-1_t-cat_id-19	"there are list of 4 strings . first string consist 1 + lowercase . second string consist digit or letter . third string consist 3 + letter . and last string consist 2 "" 5 "" numeric value ."	concat ( repeatatleast ( <low> , 1 ) , concat ( or ( <num> , <let> ) , concat ( repeatatleast ( <let> , 3 ) , repeat ( <5> , 2 ) ) ) )	j3Fva55 dHBetKx55 hFVhUQZjZInqmcHSYz55 bOLgUacOfitvsDj55 dJDsEahEleIbXDtjP55 j2cKPD55	hlzWni5 uvw0fcR555 gqstvvtclobbi6wz55 8fqXOBcet55 hxv9eLsxF5 uvw0fNK555
b-1_t-cat_id-19	"this pattern can be formed by any string that starts with 1 or more lowercase letters , followed by a digit or letter , another 3 or more letters , and ends with exactly 2 "" 5 "" digits ."	concat ( repeatatleast ( <low> , 1 ) , concat ( or ( <num> , <let> ) , concat ( repeatatleast ( <let> , 3 ) , repeat ( <5> , 2 ) ) ) )	j3Fva55 dHBetKx55 hFVhUQZjZInqmcHSYz55 bOLgUacOfitvsDj55 dJDsEahEleIbXDtjP55 j2cKPD55	hlzWni5 uvw0fcR555 gqstvvtclobbi6wz55 8fqXOBcet55 hxv9eLsxF5 uvw0fNK555
b-1_t-cat_id-21	"a string starts with a sequence of at least 1 uppercase letter "" K "" , followed by at least 2 lowercase letters , another sequence of at least 1 uppercase letter "" K "" and finally the digit "" 4 "" or "" 7 "" ."	concat ( repeatatleast ( <K> , 1 ) , concat ( repeatatleast ( <low> , 2 ) , concat ( repeatatleast ( <K> , 1 ) , or ( <4> , <7> ) ) ) )	KKKKoyeflKKKK7 KjxKKKKKKKKKKKKKKK4 KKyoqgcKKKKK4 KwiKKKKKKKKKKKKKKKK4 KmcKK7 KgbKKKK4	uhqujKKKKKKKK7 Kgxwvkxjtrxz4 KKKKdKKK7 KKkjdkgowbuixf7 KKttqnzcsfigg7 KKeni7
b-1_t-cat_id-21	"a string starting with at least 1 capital "" K "" followed by at least 2 lowercase letters . after that there will be another capital "" K "" or more with the number "" 4 "" or "" 7 "" at the end ."	concat ( repeatatleast ( <K> , 1 ) , concat ( repeatatleast ( <low> , 2 ) , concat ( repeatatleast ( <K> , 1 ) , or ( <4> , <7> ) ) ) )	KKKKoyeflKKKK7 KjxKKKKKKKKKKKKKKK4 KKyoqgcKKKKK4 KwiKKKKKKKKKKKKKKKK4 KmcKK7 KgbKKKK4	uhqujKKKKKKKK7 Kgxwvkxjtrxz4 KKKKdKKK7 KKkjdkgowbuixf7 KKttqnzcsfigg7 KKeni7
b-1_t-cat_id-25	a 3 to 4 digits or letters string , followed by another string of 4 letters , which is optional	concat ( repeatrange ( or ( <num> , <let> ) , 3 , 4 ) , optional ( repeat ( <let> , 4 ) ) )	r511 n8d 21Z4gjbe Jkvsnyj 21Z4gjbM n8N	42x15 DEx1GacNH 8X2R5pVdU 42x1e TWPVi 8X2R5pVXx
b-1_t-cat_id-25	the string starts with 3 to 4 numbers or letters , and the end of string which is optional should be of 4 letters .	concat ( repeatrange ( or ( <num> , <let> ) , 3 , 4 ) , optional ( repeat ( <let> , 4 ) ) )	r511 n8d 21Z4gjbe Jkvsnyj 21Z4gjbM n8N	42x15 DEx1GacNH 8X2R5pVdU 42x1e TWPVi 8X2R5pVXx
b-1_t-cat_id-26	"the string starts with a period or exclamation mark , followed by either a "" 6 "" or "" 2 "" . next there are 1 to 4 "" 8 "" , followed by either "" $ "" or "" ^ "" . it ends with 2 or more numbers ."	concat ( or ( <.> , <!> ) , concat ( or ( <6> , <2> ) , concat ( repeatrange ( <8> , 1 , 4 ) , concat ( or ( <$> , <^> ) , repeatatleast ( <num> , 2 ) ) ) ) )	!68$4873608104 !68^9855547192 .688^43310 .6888^023366871670 !6888^27834289 !288^81674938867510	!2888+9818 .68888^8 .2^3010870 !68888+885661 .688888$15 !288+587438633
b-1_t-cat_id-26	i want to enter capital letter in first string and second 1 with 2 digit and separated with dash andnext string with a capital and next with 2 digit next separate by a dash and the final string consist of 2 digit	concat ( or ( <.> , <!> ) , concat ( or ( <6> , <2> ) , concat ( repeatrange ( <8> , 1 , 4 ) , concat ( or ( <$> , <^> ) , repeatatleast ( <num> , 2 ) ) ) ) )	!68$4873608104 !68^9855547192 .688^43310 .6888^023366871670 !6888^27834289 !288^81674938867510	!2888+9818 .68888^8 .2^3010870 !68888+885661 .688888$15 !288+587438633
b-1_t-cat_id-28	"the string begins with 2 or more lowercase "" s "" followed by 3 numbers . an uppercase "" Z "" must come next . next is either "" *## "" or "" _;, "" . optionally , it can end with 3 or 4 capital letters ."	concat ( repeatatleast ( <s> , 2 ) , concat ( repeat ( <num> , 3 ) , concat ( <Z> , concat ( or ( const ( <*##> ) , const ( <_;,> ) ) , optional ( repeatrange ( <cap> , 3 , 4 ) ) ) ) ) )	ssssss292Z_;,KQD ssssssssss384Z*## ssss940Z_;, sss946Z_;,XOE sssss787Z*## sssss787Z_;,	ss323Z-+=PYW ssssssssss474Z_;,HZ ssss221Z*##IY sssss306Z-+=UGTB ssss611*##YHU ssss244Z*##IVXLO
b-1_t-cat_id-28	"the string must begin with 2 or more letter "" s "" . after this grouping , it is a 3 digit number . after this 3 digit number , there a letter "" Z "" . after the letter "" Z "" , the string must contain "" _;, "" or "" ## "" . the string can end with an optional string of 3 to 4 capital letters ."	concat ( repeatatleast ( <s> , 2 ) , concat ( repeat ( <num> , 3 ) , concat ( <Z> , concat ( or ( const ( <*##> ) , const ( <_;,> ) ) , optional ( repeatrange ( <cap> , 3 , 4 ) ) ) ) ) )	ssssss292Z_;,KQD ssssssssss384Z*## ssss940Z_;, sss946Z_;,XOE sssss787Z*## sssss787Z_;,	ss323Z-+=PYW ssssssssss474Z_;,HZ ssss221Z*##IY sssss306Z-+=UGTB ssss611*##YHU ssss244Z*##IVXLO
b-1_t-cat_id-3	"a list of 3 strings . a first string consist 1 - 3 capital that is optional . second string consist 2 + digit numeric value . and last string consist 3 + "" 8 "" numeric value ."	concat ( optional ( repeatrange ( <cap> , 1 , 3 ) ) , concat ( repeatatleast ( <num> , 2 ) , repeatatleast ( <8> , 3 ) ) )	028999998899596888 N259986488499888 098982888 03828988999826888 K5088888 098988888	40882979392965988 WB79988
b-1_t-cat_id-3	"the string starts with an optional 1 - 3 capital letters and then more than 2 digits , and it ends with more than 3 "" 8 """	concat ( optional ( repeatrange ( <cap> , 1 , 3 ) ) , concat ( repeatatleast ( <num> , 2 ) , repeatatleast ( <8> , 3 ) ) )	028999998899596888 N259986488499888 098982888 03828988999826888 K5088888 098988888	40882979392965988 WB79988
b-1_t-cat_id-35	there are 2 strings first is optional with 2 to 3 letters and the second 1 follows with 3 + +	concat ( optional ( repeatrange ( <let> , 2 , 3 ) ) , repeatatleast ( <u> , 3 ) )	uuu sNvuuuuuuu vzuuuuuuu xWuuu QWuuuu uyMuuuuuuuuu	iruu QEuu uu uKyuu uu ytxuu
b-1_t-cat_id-35	"a string with optional 2 - 3 letters , then 3 "" u "" ."	concat ( optional ( repeatrange ( <let> , 2 , 3 ) ) , repeatatleast ( <u> , 3 ) )	uuu sNvuuuuuuu vzuuuuuuu xWuuu QWuuuu uyMuuuuuuuuu	iruu QEuu uu uKyuu uu ytxuu
b-1_t-cat_id-36	a list of 3 strings . the first and last string consist 2 or more digit numeric value . the second of the string consist 1 to 3 capital that is optional	concat ( repeatatleast ( <num> , 2 ) , concat ( optional ( repeatrange ( <cap> , 1 , 3 ) ) , repeatatleast ( <num> , 2 ) ) )	98YQN981021695469 16QNT38800627546979 7635YET32079659413 2670162TAR8168 96TN676259121877 98928P84105469588	7J97259698535074 97402888781UKCF98 5UDD899276 6P38851755872 370693GUEO2784862369 9073173RKIP6873
b-1_t-cat_id-36	a list of 3 strings . first sring consist of 2 or more digits numeric value , second stringconsist of 1 to 3 capital letters or that is optinal part . the last string consist of 2 or more digits numeric value .	concat ( repeatatleast ( <num> , 2 ) , concat ( optional ( repeatrange ( <cap> , 1 , 3 ) ) , repeatatleast ( <num> , 2 ) ) )	98YQN981021695469 16QNT38800627546979 7635YET32079659413 2670162TAR8168 96TN676259121877 98928P84105469588	7J97259698535074 97402888781UKCF98 5UDD899276 6P38851755872 370693GUEO2784862369 9073173RKIP6873
b-1_t-cat_id-37	a list of 3 strings . first string consist 1 - 2 capital . next string consist 1 + lowercase . last string consist 1 - 2 capital .	concat ( repeatrange ( <cap> , 1 , 2 ) , concat ( repeatatleast ( <low> , 1 ) , repeatrange ( <cap> , 1 , 2 ) ) )	SwmxvzcwkoeauhB PnymfwnphzxntQ GFyefsW BgenjdhtmtstlkectvUA HlfobnwzxyHI NDnjfwezeC	Xexm DBF HTsurftlb XPhh hrhernD voC
b-1_t-cat_id-37	the string starts with 1 to 2 capital letters after which there is more than 1 lowercase letters . the string ends with 1 to 2 capital letters .	concat ( repeatrange ( <cap> , 1 , 2 ) , concat ( repeatatleast ( <low> , 1 ) , repeatrange ( <cap> , 1 , 2 ) ) )	SwmxvzcwkoeauhB PnymfwnphzxntQ GFyefsW BgenjdhtmtstlkectvUA HlfobnwzxyHI NDnjfwezeC	Xexm DBF HTsurftlb XPhh hrhernD voC
b-1_t-cat_id-38	the string starts and ends with 2 or more capital letters . the middle part consists of 1 or more lowercase letters .	concat ( repeatatleast ( <cap> , 2 ) , concat ( repeatatleast ( <low> , 1 ) , repeatatleast ( <cap> , 2 ) ) )	QPOCtsyAV RJeysgaJOGCEMZULF VXUHaoEMGODAOBCZBMK OVbXOM FWXiEAM QPOCtNYIE	ASHNSBIXGIYUYGKYCP DJXZQ MrgfABO OKKN MVqspeioclQ WsfwYBEHYLRGHVRY
b-1_t-cat_id-38	a string starting with 2 or more capital letters , then 1 or more lower case letters , then 2 or more capital letters .	concat ( repeatatleast ( <cap> , 2 ) , concat ( repeatatleast ( <low> , 1 ) , repeatatleast ( <cap> , 2 ) ) )	QPOCtsyAV RJeysgaJOGCEMZULF VXUHaoEMGODAOBCZBMK OVbXOM FWXiEAM QPOCtNYIE	ASHNSBIXGIYUYGKYCP DJXZQ MrgfABO OKKN MVqspeioclQ WsfwYBEHYLRGHVRY
b-1_t-cat_id-39	"a list of 2 strings . first string consist of 1 + "" X "" ( optional ) . second string consist of 3 to 4 digit numberic value"	concat ( optional ( repeatatleast ( <X> , 1 ) ) , repeatrange ( <num> , 3 , 4 ) )	XXXX680 XXXXXXX649 XXXXXXXX817 XXX4280 XXXXXXXXXXXXXX695 XXXXX5749	XXXXXXXXXXXXXX10759 XX63873 X65362 XXXXXXXXXX47055 X13 XXXXXXXXXXXX05
b-1_t-cat_id-39	"a list of 2 strings . the first string consist of 1 + "" X "" that is optional and final string consist of 3 - 4 digit ."	concat ( optional ( repeatatleast ( <X> , 1 ) ) , repeatrange ( <num> , 3 , 4 ) )	XXXX680 XXXXXXX649 XXXXXXXX817 XXX4280 XXXXXXXXXXXXXX695 XXXXX5749	XXXXXXXXXXXXXX10759 XX63873 X65362 XXXXXXXXXX47055 X13 XXXXXXXXXXXX05
b-1_t-cat_id-44	"a list of 5 strings first and third string consist of "" ^ "" or "" * "" second and fourth string consist of "" B "" or "" a "" and the final string is optional with 1 + "" Y """	concat ( or ( <^> , <*> ) , concat ( or ( <B> , <a> ) , concat ( or ( <^> , <*> ) , concat ( or ( <B> , <a> ) , optional ( repeatatleast ( <Y> , 1 ) ) ) ) ) )	*a*BYYYYYYYYYYYYY *a*aYYYYYYYYYYYYYYYY *a^aYY *a^BYYYYYYYYYYYYY *a^aYYYYYYYYYYYYYYYY *B^BYYYYYYYYYYYYYY	*a^TYYYYY *e*aYYYYYYYYYY ^z^BYYYYYYYY *B*TYYYYY
b-1_t-cat_id-48	"a list of 2 strings . first string match of "" P "" . last string consist by 1 or more letters ."	concat ( <P> , repeatatleast ( <let> , 1 ) )	PIhLDCEEEXY PbVQWACSMIyIUcaCpR PnNfeNkjrikm PEnSSmnAQTyCPJuLz Pna PnNfeNkjriMs	P P P P
b-1_t-cat_id-48	"the string is the letter "" P "" followed by at least 1 more letter ."	concat ( <P> , repeatatleast ( <let> , 1 ) )	PIhLDCEEEXY PbVQWACSMIyIUcaCpR PnNfeNkjrikm PEnSSmnAQTyCPJuLz Pna PnNfeNkjriMs	P P P P
b-1_t-cat_id-5	there are 2 strings . first string consist by symbols that is optional . last string consist by 2 to 4 letters	concat ( repeatrange ( <let> , 2 , 4 ) , optional ( or ( <-> , <#> ) ) )	ryDN ws# ryD- uwJH- uwJl- ws-	hbMon- VCV& rcWA$ hbMon# hbMoV# rccr$
b-1_t-cat_id-5	"a string that starts with 2 - 4 letters and optionally ends with "" - "" or "" # "" ."	concat ( repeatrange ( <let> , 2 , 4 ) , optional ( or ( <-> , <#> ) ) )	ryDN ws# ryD- uwJH- uwJl- ws-	hbMon- VCV& rcWA$ hbMon# hbMoV# rccr$
b-1_t-cat_id-50	there are 3 strings . first string consist 2 to 3 letter . the next string consist 3 lowercase and last string consist 3 to 4 capital .	concat ( repeatrange ( <let> , 2 , 3 ) , concat ( repeat ( <low> , 3 ) , repeatrange ( <cap> , 3 , 4 ) ) )	nxnknrUKZK JLvxoVVIC nxCesuCTHH HXlzrVVQ JyHwqhUZW JLLxpyTAM	XjirINGA PlzsmLJDPW FxmtjdiAPXW PJvwyQSNAJ NlHoiLYNW pmaoAIHX
b-1_t-cat_id-50	a string that starts with 2 - 3 letters , followed by 3 lowercase letters and ending with 3 - 4 capital letters .	concat ( repeatrange ( <let> , 2 , 3 ) , concat ( repeat ( <low> , 3 ) , repeatrange ( <cap> , 3 , 4 ) ) )	nxnknrUKZK JLvxoVVIC nxCesuCTHH HXlzrVVQ JyHwqhUZW JLLxpyTAM	XjirINGA PlzsmLJDPW FxmtjdiAPXW PJvwyQSNAJ NlHoiLYNW pmaoAIHX
b-1_t-cat_id-58	there are 5 strings . one , three and last strings consist by 3 to 4 letters . second strings consist by 1 to 4 lowercase that is optional . fourth strings consist by 1 or more capital letters that is optional .	concat ( repeatrange ( <let> , 3 , 4 ) , concat ( optional ( repeatrange ( <low> , 1 , 4 ) ) , concat ( repeatrange ( <let> , 3 , 4 ) , concat ( optional ( repeatatleast ( <cap> , 1 ) ) , repeatrange ( <let> , 3 , 4 ) ) ) ) )	XwOEDjcZYOJYBVTI SubwRgNjFXUHWGpml mszLiZJPeNMMCAGVLWC mszLiZJPeNMMCAGVLfS YCmBIpNFJFWPXERoVY ZXhwbMpDtdqi	VJHEEexpJDiiRWUudBU GJreRmEgqQsWJ
b-1_t-cat_id-58	a list of 5 string . the first string consist of 3 - 4 letter and second string consist of 1 - 4 lowercase that is optional and third string consist of 3 - 4 letter and fourth string consist by 1+capita + that is optional and final string consist of 3 - 4 letter .	concat ( repeatrange ( <let> , 3 , 4 ) , concat ( optional ( repeatrange ( <low> , 1 , 4 ) ) , concat ( repeatrange ( <let> , 3 , 4 ) , concat ( optional ( repeatatleast ( <cap> , 1 ) ) , repeatrange ( <let> , 3 , 4 ) ) ) ) )	XwOEDjcZYOJYBVTI SubwRgNjFXUHWGpml mszLiZJPeNMMCAGVLWC mszLiZJPeNMMCAGVLfS YCmBIpNFJFWPXERoVY ZXhwbMpDtdqi	VJHEEexpJDiiRWUudBU GJreRmEgqQsWJ
b-1_t-cat_id-59	a string starts with 3 characters that are not digits and ends with either 2 digits or 2 capital letters . inbetween , there may be a sequence of any length of letters and digits .	concat ( repeat ( notcc ( <num> ) , 3 ) , concat ( optional ( repeatatleast ( or ( <let> , <num> ) , 1 ) ) , or ( repeat ( <num> , 2 ) , repeat ( <cap> , 2 ) ) ) )	DcLPsTM6KUd70 -$&AC91 P_%segclG43877ML673 @#&j0BSAH19lD4313 ,..N2eR3K58KI0QU bGjiQl2EvXA	jm42CM Oz99
b-1_t-cat_id-59	the string starts with 3 characters which are not numbers and then more than 1 letter or number which are optional . the string ends either with 2 number or 2 capital letters .	concat ( repeat ( notcc ( <num> ) , 3 ) , concat ( optional ( repeatatleast ( or ( <let> , <num> ) , 1 ) ) , or ( repeat ( <num> , 2 ) , repeat ( <cap> , 2 ) ) ) )	DcLPsTM6KUd70 -$&AC91 P_%segclG43877ML673 @#&j0BSAH19lD4313 ,..N2eR3K58KI0QU bGjiQl2EvXA	jm42CM Oz99
b-1_t-cat_id-65	"there are list of 4 strings first 1 contains three+ capital letters next string need 3 + digits third 1 contains "" N "" or "" g "" and the final string contains 2 - 4 letters"	concat ( repeatatleast ( <cap> , 3 ) , concat ( repeatatleast ( <num> , 3 ) , concat ( or ( <N> , <g> ) , repeatrange ( <let> , 2 , 4 ) ) ) )	MLWTMF6362817NVF ZHX617822gxRkC UYL17023292112NdoMy UYL17023292112Ndobx MLWTMF6362817NVn ZKQ4687NOB	SW9925840NSHzv LQ47036403gAKev NJTVU71grbz CAV564609423279310NP EJV9882531NIFVzl BDMZVDWXHMV76gLF
b-1_t-cat_id-65	"a string that must start with 3 or more capital letters , followed by 3 or more digits , followed only by a "" N "" capital letter or a lowercase "" g "" , and to end with 2 to 4 letters ."	concat ( repeatatleast ( <cap> , 3 ) , concat ( repeatatleast ( <num> , 3 ) , concat ( or ( <N> , <g> ) , repeatrange ( <let> , 2 , 4 ) ) ) )	MLWTMF6362817NVF ZHX617822gxRkC UYL17023292112NdoMy UYL17023292112Ndobx MLWTMF6362817NVn ZKQ4687NOB	SW9925840NSHzv LQ47036403gAKev NJTVU71grbz CAV564609423279310NP EJV9882531NIFVzl BDMZVDWXHMV76gLF
b-1_t-cat_id-68	"a list of 5 strings . a first 1 consist 2 to 4 capital and the next string consists 3 to 4 "" 0 "" . the third string consists should be an optional . the fourth string consists 2 to 4 capital the last string contains 3 to 4 letter ."	concat ( repeatrange ( <cap> , 2 , 4 ) , concat ( repeatrange ( <0> , 3 , 4 ) , concat ( optional ( <low> ) , concat ( repeatrange ( <cap> , 2 , 4 ) , repeatrange ( <let> , 3 , 4 ) ) ) ) )	AXE000KEUIm KLRT0000tWVQCUMNk IQ000uNCPIigXs AXE000KEUIV MJIH000EURGADHv KLRT0000tWVQCUMhn	Q000tDFKjFOO JZN00dRFiAA LV0000ehTOoZV S0000pVHETzcTd N0000hXRBQwFdM RSBR00000HWWplBA
b-1_t-cat_id-68	"a string starting with 2 - 4 capitals , followed by 3 - 4 "" 0 "" , then an optional lowercase letter . after that , 2 - 4 capital letters , followed by 3 - 4 letters ."	concat ( repeatrange ( <cap> , 2 , 4 ) , concat ( repeatrange ( <0> , 3 , 4 ) , concat ( optional ( <low> ) , concat ( repeatrange ( <cap> , 2 , 4 ) , repeatrange ( <let> , 3 , 4 ) ) ) ) )	AXE000KEUIm KLRT0000tWVQCUMNk IQ000uNCPIigXs AXE000KEUIV MJIH000EURGADHv KLRT0000tWVQCUMhn	Q000tDFKjFOO JZN00dRFiAA LV0000ehTOoZV S0000pVHETzcTd N0000hXRBQwFdM RSBR00000HWWplBA
b-1_t-cat_id-69	"there are 3 strings . first string consist by 2 or more lowercase . second string consist 3 to 4 "" T "" . last string consist 1 to 4 "" b "" ."	concat ( repeatatleast ( <low> , 2 ) , concat ( repeatrange ( <T> , 3 , 4 ) , repeatrange ( <b> , 1 , 4 ) ) )	lxnyqomdvpgTTTTbb ethyhidnxTTTbbbb unTTTTbb bsdlqzsvTTTbbb sasodxcvkymtlxTTTTb ethyhidnxTTTTbbb	phpkwdxrTTTbbbbb yzrTTb ozwypcnzxktddTTb elfTTTbbbbb wyuxuTTTbbbbb dhyvibTTTbbbbb
b-1_t-cat_id-69	"a string that begins with 2 or more lowercase letters , then 3 - 4 "" T "" followed by 1 - 4 "" b "" ."	concat ( repeatatleast ( <low> , 2 ) , concat ( repeatrange ( <T> , 3 , 4 ) , repeatrange ( <b> , 1 , 4 ) ) )	lxnyqomdvpgTTTTbb ethyhidnxTTTbbbb unTTTTbb bsdlqzsvTTTbbb sasodxcvkymtlxTTTTb ethyhidnxTTTTbbb	phpkwdxrTTTbbbbb yzrTTb ozwypcnzxktddTTb elfTTTbbbbb wyuxuTTTbbbbb dhyvibTTTbbbbb
b-1_t-cat_id-71	the string begins and ends with 1 to 4 lowercase letters . these parts are separated by any 2 letters .	concat ( repeatrange ( <low> , 1 , 4 ) , concat ( repeat ( <let> , 2 ) , repeatrange ( <low> , 1 , 4 ) ) )	mwmpGg jbjcpbrftt gfylblrl gfylOIao mROqe mwmpnm	tztuqSfpyob acLgymfqp nylanxUiw ahnplwKj jWqyvhhn evHLhznbx
b-1_t-cat_id-71	a list of 3 strings . first string consist of 1 to 4 lowercase , second string consist of 2 letters , last string consist of 1 to 4 lowercase .	concat ( repeatrange ( <low> , 1 , 4 ) , concat ( repeat ( <let> , 2 ) , repeatrange ( <low> , 1 , 4 ) ) )	mwmpGg jbjcpbrftt gfylblrl gfylOIao mROqe mwmpnm	tztuqSfpyob acLgymfqp nylanxUiw ahnplwKj jWqyvhhn evHLhznbx
b-1_t-cat_id-75	a list of 2 strings . first string consist 3 lowercase . last string consist 3 + letter .	concat ( repeat ( <low> , 3 ) , repeatatleast ( <let> , 3 ) )	fsuhoRdKRUGrFIRj iptHLAdpPnKUXPrWo vzaYtMELVhRzLq iilrcgrSl notQqOBmXIZCJDk gswokWBJKRrMdkCNPRkp	qmnVF qmnVa irmPp irmwY qmnyA
