problem_id	description	regex	pos_examples	neg_examples
b-1_t-cat_id-12	A line that begins and ends with 3 or more 'h'. Following that you can choose to add 1-3 'O'. Next you need 2 numbers before 3-4 capital letters.	concat(repeatatleast(<h>,3),concat(optional(repeatrange(<O>,1,3)),concat(repeat(<num>,2),concat(repeatrange(<cap>,3,4),repeatatleast(<h>,3)))))	hhhhhhO69MWIhhhh hhhhhO22BFNhhhhhhhhh hhh27TZSIhhhhhhhhhh hhh25SNYChhhh hhhhhhO30OIShhhhhhh hhhh42ATPhhh	hhhhhhhhOOO12NSOIhh hhh18GOICKhhh hhhhO323FAThhhhhhh hhhhO91RAQNQhhhhh hh59NVDhhhh hhhhhhhhhOO60FQCPhh
b-1_t-cat_id-12	A LIST OF FIVE STRINGS.THE FIRST STRINGS CONSIST OF 3+ 'H' AND SECOND STRINGS CONSIST OF 1-3 'O' AND THIRD STRINGS CONSISTS OF 2 DIGIT AND FOUR STRINGS CONSIST OF 3-4 CAPITAL AND FINAL LAST STRINGS CONSIST OF 3+ 'H'	concat(repeatatleast(<h>,3),concat(optional(repeatrange(<O>,1,3)),concat(repeat(<num>,2),concat(repeatrange(<cap>,3,4),repeatatleast(<h>,3)))))	hhhhhhO69MWIhhhh hhhhhO22BFNhhhhhhhhh hhh27TZSIhhhhhhhhhh hhh25SNYChhhh hhhhhhO30OIShhhhhhh hhhh42ATPhhh	hhhhhhhhOOO12NSOIhh hhh18GOICKhhh hhhhO323FAThhhhhhh hhhhO91RAQNQhhhhh hh59NVDhhhh hhhhhhhhhOO60FQCPhh
b-1_t-cat_id-13	A LIST OF TWO STRING. THE FIRST STRING CONSIST OF 2+ 'N' AND FINAL STRING CONSIST OF 1-4 LOWERCASE.	concat(repeatatleast(<n>,2),repeatrange(<low>,1,4))	nnbd nnnnnz nnnnnnehnm nnnnnnnnnnnn nnnnnnnnnnnnnqm nnnnnnnnnnnnnnnn	ndvre nnnnnnnnnnnvyenp nffs nv
b-1_t-cat_id-14	A LIST OF FIVE STRING.THE FIRST STRING CONSIST OF 4 LOWERCASE AND SECOND STRING CONSIST OF 1-2 LETTER AND THIRD STRING CONSIST OF 4 LOWERCASE AND FOURTH STRING CONSIST OF 3-4 LETTER AND FINAL LAST STRING CONSIST OF CAPITAL	concat(repeat(<low>,4),concat(repeatrange(<let>,1,2),concat(repeat(<low>,4),concat(repeatrange(<let>,3,4),<cap>))))	ymxmDghcaaEeO xvbunSfuumGYzHC xvbunSfuumGYFGX ymxmDghcaawlI qqehuKbwumZhyC xvbunSfuumGYzaM	fxifEkgudfJy krbaGeKsqdvqIUP mfwpmdOqpxmEQOQK tvwlkHfzqnmjHn twoziJPlbenFguR yuuyDljdNCGTF
b-1_t-cat_id-18	A LIST OF TWO STRING.THE FIRST STRING CONSIST OF 1+DIGIT AND SECOND STRING CONSIST OF 'NU' THAT IS OPTIONAL.	concat(repeatatleast(<num>,1),optional(or(const(<NU>),const(<DG>))))	60866077 88NU 441482789193022NU 12905763316935NU 1901147360 77856340589691620NU	49440156991124WJ DG 6999950493417118ZCZ 56656431929230750WJ 8315ZCZ 1747486ZCZ
b-1_t-cat_id-19	A LIST OF FOUR STRING.THE FIRST STRING CONSIST OF 1+LOWERCASE AND SECOND STRING CONSIST OF DIGIT AND THIRD STRING CONSIST OF 3+LETTER AND FINAL STRING CONSIST OF 2 '5'	concat(repeatatleast(<low>,1),concat(or(<num>,<let>),concat(repeatatleast(<let>,3),repeat(<5>,2))))	j3Fva55 dHBetKx55 hFVhUQZjZInqmcHSYz55 bOLgUacOfitvsDj55 dJDsEahEleIbXDtjP55 j2cKPD55	hlzWni5 uvw0fcR555 gqstvvtclobbi6wz55 8fqXOBcet55 hxv9eLsxF5 uvw0fNK555
b-1_t-cat_id-21	A LIST OF FOUR STRING.THE FIRST STRING CONSIST OF 1+'K' AND SECOND STRING CONSIST OF 2+LOWERCASE AND THIRD STRING CONSIST OF 1+'K' AND FINAL STRING CONSIST OF '4' OR '7'.	concat(repeatatleast(<K>,1),concat(repeatatleast(<low>,2),concat(repeatatleast(<K>,1),or(<4>,<7>))))	KKKKoyeflKKKK7 KjxKKKKKKKKKKKKKKK4 KKyoqgcKKKKK4 KwiKKKKKKKKKKKKKKKK4 KmcKK7 KgbKKKK4	uhqujKKKKKKKK7 Kgxwvkxjtrxz4 KKKKdKKK7 KKkjdkgowbuixf7 KKttqnzcsfigg7 KKeni7
b-1_t-cat_id-25	A LIST OF TWO STRING.THE FIRST STRING CONSIST OF 3-4 DIGIT OR LETTER AND FINAL LAST STRING CONSIST OF 4 LETTER	concat(repeatrange(or(<num>,<let>),3,4),optional(repeat(<let>,4)))	r511 n8d 21Z4gjbe Jkvsnyj 21Z4gjbM n8N	42x15 DEx1GacNH 8X2R5pVdU 42x1e TWPVi 8X2R5pVXx
b-1_t-cat_id-26	A LIST OF FIVE STRINGS.THE FIRST STRINGS CONSISTS OF '!' AND SECOND STRINGS CONSISTS OF '6' AND THREE STRINGS CONSISTS OF 1-4 '8' AND FOUR STRINGS CONSIST OF '$' AND FINAL LAST STRINGS CONSIST OF 2+ DIGIT.	concat(or(<.>,<!>),concat(or(<6>,<2>),concat(repeatrange(<8>,1,4),concat(or(<$>,<^>),repeatatleast(<num>,2)))))	!68$4873608104 !68^9855547192 .688^43310 .6888^023366871670 !6888^27834289 !288^81674938867510	!2888+9818 .68888^8 .2^3010870 !68888+885661 .688888$15 !288+587438633
b-1_t-cat_id-28	A string starting with two or more 's' followed by another string of three digits then a 'Z'. Next is '*##' or '_;,' which is followed by an optional three of four capital letters.	concat(repeatatleast(<s>,2),concat(repeat(<num>,3),concat(<Z>,concat(or(const(<*##>),const(<_;,>)),optional(repeatrange(<cap>,3,4))))))	ssssss292Z_;,KQD ssssssssss384Z*## ssss940Z_;, sss946Z_;,XOE sssss787Z*## sssss787Z_;,	ss323Z-+=PYW ssssssssss474Z_;,HZ ssss221Z*##IY sssss306Z-+=UGTB ssss611*##YHU ssss244Z*##IVXLO
