problem_id	description	regex	pos_examples	neg_examples	const_values
b-1_t-cat_id-12	a list of 5 strings . the first string consist of 3 + const0 and second string consist of 1 - 3 const1 that is optional and third string consist of 2 digit and fourth string consist of 3 - 4 capital and final string consist of 3 + const0 .	concat ( repeatatleast ( const0 , 3 ) , concat ( optional ( repeatrange ( const1 , 1 , 3 ) ) , concat ( repeat ( <num> , 2 ) , concat ( repeatrange ( <cap> , 3 , 4 ) , repeatatleast ( const0 , 3 ) ) ) ) )	hhhhhhO69MWIhhhh hhhhhO22BFNhhhhhhhhh hhh27TZSIhhhhhhhhhh hhh25SNYChhhh hhhhhhO30OIShhhhhhh hhhh42ATPhhh	hhhhhhhhOOO12NSOIhh hhh18GOICKhhh hhhhO323FAThhhhhhh hhhhO91RAQNQhhhhh hh59NVDhhhh hhhhhhhhhOO60FQCPhh	2 const0,h const1,O
b-1_t-cat_id-13	there are the only 2 part of the strings . the first part of the string consist 2 or more const0 . the next part of the contains the 1 to 4 lowercase .	concat ( repeatatleast ( const0 , 2 ) , repeatrange ( <low> , 1 , 4 ) )	nnbd nnnnnz nnnnnnehnm nnnnnnnnnnnn nnnnnnnnnnnnnqm nnnnnnnnnnnnnnnn	ndvre nnnnnnnnnnnvyenp nffs nv	1 const0,n
b-1_t-cat_id-13	a string which starts with more than 2 letters const0 and it ends with 1 to 4 lowercase letters	concat ( repeatatleast ( const0 , 2 ) , repeatrange ( <low> , 1 , 4 ) )	nnbd nnnnnz nnnnnnehnm nnnnnnnnnnnn nnnnnnnnnnnnnqm nnnnnnnnnnnnnnnn	ndvre nnnnnnnnnnnvyenp nffs nv	1 const0,n
b-1_t-cat_id-14	a string starts with 4 lowercase characters and ends with a capital letter . in between , there is another sequence of 4 lowercase characters , preceded by 1 or 2 letters and followed by 3 or 4 extra letters .	concat ( repeat ( <low> , 4 ) , concat ( repeatrange ( <let> , 1 , 2 ) , concat ( repeat ( <low> , 4 ) , concat ( repeatrange ( <let> , 3 , 4 ) , <cap> ) ) ) )	ymxmDghcaaEeO xvbunSfuumGYzHC xvbunSfuumGYFGX ymxmDghcaawlI qqehuKbwumZhyC xvbunSfuumGYzaM	fxifEkgudfJy krbaGeKsqdvqIUP mfwpmdOqpxmEQOQK tvwlkHfzqnmjHn twoziJPlbenFguR yuuyDljdNCGTF	0
b-1_t-cat_id-14	the string starts with 4 lowercase letters followed by 1 to 2 letters and then 4 lowercase letters after which there are 3 to 4 letters . the string ends with a capital letter .	concat ( repeat ( <low> , 4 ) , concat ( repeatrange ( <let> , 1 , 2 ) , concat ( repeat ( <low> , 4 ) , concat ( repeatrange ( <let> , 3 , 4 ) , <cap> ) ) ) )	ymxmDghcaaEeO xvbunSfuumGYzHC xvbunSfuumGYFGX ymxmDghcaawlI qqehuKbwumZhyC xvbunSfuumGYzaM	fxifEkgudfJy krbaGeKsqdvqIUP mfwpmdOqpxmEQOQK tvwlkHfzqnmjHn twoziJPlbenFguR yuuyDljdNCGTF	0
b-1_t-cat_id-18	a list of 2 strings . first string consist of 1 or more digit numeric . last string consist of const0 or const1 that is optional	concat ( repeatatleast ( <num> , 1 ) , optional ( or ( const0 , const1 ) ) )	60866077 88NU 441482789193022NU 12905763316935NU 1901147360 77856340589691620NU	49440156991124WJ DG 6999950493417118ZCZ 56656431929230750WJ 8315ZCZ 1747486ZCZ	2 const0,NU const1,DG
b-1_t-cat_id-18	a string that starts with 1 or more digits and optionally ends with const0 or const1 .	concat ( repeatatleast ( <num> , 1 ) , optional ( or ( const0 , const1 ) ) )	60866077 88NU 441482789193022NU 12905763316935NU 1901147360 77856340589691620NU	49440156991124WJ DG 6999950493417118ZCZ 56656431929230750WJ 8315ZCZ 1747486ZCZ	2 const0,NU const1,DG
b-1_t-cat_id-19	there are list of 4 strings . first string consist 1 + lowercase . second string consist digit or letter . third string consist 3 + letter . and last string consist 2 const0 numeric value .	concat ( repeatatleast ( <low> , 1 ) , concat ( or ( <num> , <let> ) , concat ( repeatatleast ( <let> , 3 ) , repeat ( const0 , 2 ) ) ) )	j3Fva55 dHBetKx55 hFVhUQZjZInqmcHSYz55 bOLgUacOfitvsDj55 dJDsEahEleIbXDtjP55 j2cKPD55	hlzWni5 uvw0fcR555 gqstvvtclobbi6wz55 8fqXOBcet55 hxv9eLsxF5 uvw0fNK555	1 const0,5
b-1_t-cat_id-19	this pattern can be formed by any string that starts with 1 or more lowercase letters , followed by a digit or letter , another 3 or more letters , and ends with exactly 2 const0 digits .	concat ( repeatatleast ( <low> , 1 ) , concat ( or ( <num> , <let> ) , concat ( repeatatleast ( <let> , 3 ) , repeat ( const0 , 2 ) ) ) )	j3Fva55 dHBetKx55 hFVhUQZjZInqmcHSYz55 bOLgUacOfitvsDj55 dJDsEahEleIbXDtjP55 j2cKPD55	hlzWni5 uvw0fcR555 gqstvvtclobbi6wz55 8fqXOBcet55 hxv9eLsxF5 uvw0fNK555	1 const0,5
b-1_t-cat_id-21	a string starts with a sequence of at least 1 uppercase letter const0 , followed by at least 2 lowercase letters , another sequence of at least 1 uppercase letter const0 and finally the digit const1 or const2 .	concat ( repeatatleast ( const0 , 1 ) , concat ( repeatatleast ( <low> , 2 ) , concat ( repeatatleast ( const0 , 1 ) , or ( const1 , const2 ) ) ) )	KKKKoyeflKKKK7 KjxKKKKKKKKKKKKKKK4 KKyoqgcKKKKK4 KwiKKKKKKKKKKKKKKKK4 KmcKK7 KgbKKKK4	uhqujKKKKKKKK7 Kgxwvkxjtrxz4 KKKKdKKK7 KKkjdkgowbuixf7 KKttqnzcsfigg7 KKeni7	3 const0,K const1,4 const2,7
