problem_id	description	regex	pos_examples	neg_examples	const_values
b-1_t-cat_id-12	a line that begins and ends with 3 or more const0 . following that you can choose to add 1 - 3 const1 . next you need 2 numbers before 3 - 4 capital letters .	concat ( repeatatleast ( const0 , 3 ) , concat ( optional ( repeatrange ( const1 , 1 , 3 ) ) , concat ( repeat ( <num> , 2 ) , concat ( repeatrange ( <cap> , 3 , 4 ) , repeatatleast ( const0 , 3 ) ) ) ) )	hhhhhhO69MWIhhhh hhhhhO22BFNhhhhhhhhh hhh27TZSIhhhhhhhhhh hhh25SNYChhhh hhhhhhO30OIShhhhhhh hhhh42ATPhhh	hhhhhhhhOOO12NSOIhh hhh18GOICKhhh hhhhO323FAThhhhhhh hhhhO91RAQNQhhhhh hh59NVDhhhh hhhhhhhhhOO60FQCPhh	2 const0,h const1,O
b-1_t-cat_id-12	a list of 5 strings . the first strings consist of 3 + const1 and second strings consist of 1 - 3 const0 and third strings consists of 2 digit and 4 strings consist of 3 - 4 capital and final last strings consist of 3 + const1	concat ( repeatatleast ( <h> , 3 ) , concat ( optional ( repeatrange ( const0 , 1 , 3 ) ) , concat ( repeat ( <num> , 2 ) , concat ( repeatrange ( <cap> , 3 , 4 ) , repeatatleast ( <h> , 3 ) ) ) ) )	hhhhhhO69MWIhhhh hhhhhO22BFNhhhhhhhhh hhh27TZSIhhhhhhhhhh hhh25SNYChhhh hhhhhhO30OIShhhhhhh hhhh42ATPhhh	hhhhhhhhOOO12NSOIhh hhh18GOICKhhh hhhhO323FAThhhhhhh hhhhO91RAQNQhhhhh hh59NVDhhhh hhhhhhhhhOO60FQCPhh	2 const0,O const1,H
b-1_t-cat_id-13	a list of 2 string . the first string consist of 2 + const0 and final string consist of 1 - 4 lowercase .	concat ( repeatatleast ( <n> , 2 ) , repeatrange ( <low> , 1 , 4 ) )	nnbd nnnnnz nnnnnnehnm nnnnnnnnnnnn nnnnnnnnnnnnnqm nnnnnnnnnnnnnnnn	ndvre nnnnnnnnnnnvyenp nffs nv	1 const0,N
b-1_t-cat_id-14	a list of 5 string . the first string consist of 4 lowercase and second string consist of 1 - 2 letter and third string consist of 4 lowercase and fourth string consist of 3 - 4 letter and final last string consist of capital	concat ( repeat ( <low> , 4 ) , concat ( repeatrange ( <let> , 1 , 2 ) , concat ( repeat ( <low> , 4 ) , concat ( repeatrange ( <let> , 3 , 4 ) , <cap> ) ) ) )	ymxmDghcaaEeO xvbunSfuumGYzHC xvbunSfuumGYFGX ymxmDghcaawlI qqehuKbwumZhyC xvbunSfuumGYzaM	fxifEkgudfJy krbaGeKsqdvqIUP mfwpmdOqpxmEQOQK tvwlkHfzqnmjHn twoziJPlbenFguR yuuyDljdNCGTF	0
b-1_t-cat_id-18	a list of 2 string . the first string consist of 1+digi + and second string consist of const0 that is optional .	concat ( repeatatleast ( <num> , 1 ) , optional ( or ( const0 , const ( <DG> ) ) ) )	60866077 88NU 441482789193022NU 12905763316935NU 1901147360 77856340589691620NU	49440156991124WJ DG 6999950493417118ZCZ 56656431929230750WJ 8315ZCZ 1747486ZCZ	1 const0,NU
b-1_t-cat_id-19	a list of 4 string . the first string consist of 1+lowercas + and second string consist of digit and third string consist of 3+lette + and final string consist of 2 const0	concat ( repeatatleast ( <low> , 1 ) , concat ( or ( <num> , <let> ) , concat ( repeatatleast ( <let> , 3 ) , repeat ( const0 , 2 ) ) ) )	j3Fva55 dHBetKx55 hFVhUQZjZInqmcHSYz55 bOLgUacOfitvsDj55 dJDsEahEleIbXDtjP55 j2cKPD55	hlzWni5 uvw0fcR555 gqstvvtclobbi6wz55 8fqXOBcet55 hxv9eLsxF5 uvw0fNK555	1 const0,5
b-1_t-cat_id-21	a list of 4 string . the first string consist of 1 + const0 and second string consist of 2+lowercas + and third string consist of 1 + const0 and final string consist of const1 or const2 .	concat ( repeatatleast ( const0 , 1 ) , concat ( repeatatleast ( <low> , 2 ) , concat ( repeatatleast ( const0 , 1 ) , or ( const1 , const2 ) ) ) )	KKKKoyeflKKKK7 KjxKKKKKKKKKKKKKKK4 KKyoqgcKKKKK4 KwiKKKKKKKKKKKKKKKK4 KmcKK7 KgbKKKK4	uhqujKKKKKKKK7 Kgxwvkxjtrxz4 KKKKdKKK7 KKkjdkgowbuixf7 KKttqnzcsfigg7 KKeni7	3 const0,K const1,4 const2,7
b-1_t-cat_id-25	a list of 2 string . the first string consist of 3 - 4 digit or letter and final last string consist of 4 letter	concat ( repeatrange ( or ( <num> , <let> ) , 3 , 4 ) , optional ( repeat ( <let> , 4 ) ) )	r511 n8d 21Z4gjbe Jkvsnyj 21Z4gjbM n8N	42x15 DEx1GacNH 8X2R5pVdU 42x1e TWPVi 8X2R5pVXx	0
b-1_t-cat_id-26	a list of 5 strings . the first strings consists of const0 and second strings consists of const1 and 3 strings consists of 1 - 4 const2 and 4 strings consist of const3 and final last strings consist of 2 + digit .	concat ( or ( <.> , const0 ) , concat ( or ( const1 , <2> ) , concat ( repeatrange ( const2 , 1 , 4 ) , concat ( or ( const3 , <^> ) , repeatatleast ( <num> , 2 ) ) ) ) )	!68$4873608104 !68^9855547192 .688^43310 .6888^023366871670 !6888^27834289 !288^81674938867510	!2888+9818 .68888^8 .2^3010870 !68888+885661 .688888$15 !288+587438633	4 const0,! const1,6 const2,8 const3,$
b-1_t-cat_id-28	a string starting with 2 or more const0 followed by another string of 3 digits then a const1 . next is const2 or const3 which is followed by an optional 3 of 4 capital letters .	concat ( repeatatleast ( const0 , 2 ) , concat ( repeat ( <num> , 3 ) , concat ( const1 , concat ( or ( const2 , const3 ) , optional ( repeatrange ( <cap> , 3 , 4 ) ) ) ) ) )	ssssss292Z_;,KQD ssssssssss384Z*## ssss940Z_;, sss946Z_;,XOE sssss787Z*## sssss787Z_;,	ss323Z-+=PYW ssssssssss474Z_;,HZ ssss221Z*##IY sssss306Z-+=UGTB ssss611*##YHU ssss244Z*##IVXLO	4 const0,s const1,Z const2,*## const3,_;,
b-1_t-cat_id-3	1 to 3 capital letters followed by at least 2 digits followed by at least 3 const0 characters	concat ( optional ( repeatrange ( <cap> , 1 , 3 ) ) , concat ( repeatatleast ( <num> , 2 ) , repeatatleast ( const0 , 3 ) ) )	028999998899596888 N259986488499888 098982888 03828988999826888 K5088888 098988888	40882979392965988 WB79988	1 const0,8
b-1_t-cat_id-35	a list of 2 string . the first string consist of 2 - 3 letter and final string consist of 3 + const0 .	concat ( optional ( repeatrange ( <let> , 2 , 3 ) ) , repeatatleast ( <u> , 3 ) )	uuu sNvuuuuuuu vzuuuuuuu xWuuu QWuuuu uyMuuuuuuuuu	iruu QEuu uu uKyuu uu ytxuu	1 const0,U
b-1_t-cat_id-36	a list of third string . the first string consist of 2 + digit and second string consist of 1 - 3 capital and final string consist of 2 + digit .	concat ( repeatatleast ( <num> , 2 ) , concat ( optional ( repeatrange ( <cap> , 1 , 3 ) ) , repeatatleast ( <num> , 2 ) ) )	98YQN981021695469 16QNT38800627546979 7635YET32079659413 2670162TAR8168 96TN676259121877 98928P84105469588	7J97259698535074 97402888781UKCF98 5UDD899276 6P38851755872 370693GUEO2784862369 9073173RKIP6873	0
b-1_t-cat_id-37	a list of third string . the first string consist of 1 - 2 capital and second string consist of 1+lowercas + and final string consist of 1 - 2 capital .	concat ( repeatrange ( <cap> , 1 , 2 ) , concat ( repeatatleast ( <low> , 1 ) , repeatrange ( <cap> , 1 , 2 ) ) )	SwmxvzcwkoeauhB PnymfwnphzxntQ GFyefsW BgenjdhtmtstlkectvUA HlfobnwzxyHI NDnjfwezeC	Xexm DBF HTsurftlb XPhh hrhernD voC	0
b-1_t-cat_id-38	at least 2 capital letters followed by at least 1 lowercase letters followed by at least 2 capital letters	concat ( repeatatleast ( <cap> , 2 ) , concat ( repeatatleast ( <low> , 1 ) , repeatatleast ( <cap> , 2 ) ) )	QPOCtsyAV RJeysgaJOGCEMZULF VXUHaoEMGODAOBCZBMK OVbXOM FWXiEAM QPOCtNYIE	ASHNSBIXGIYUYGKYCP DJXZQ MrgfABO OKKN MVqspeioclQ WsfwYBEHYLRGHVRY	0
b-1_t-cat_id-39	a list of 2 string . the first string consist of 1 + const0 and the second string consist of 3 - 4 digit	concat ( optional ( repeatatleast ( const0 , 1 ) ) , repeatrange ( <num> , 3 , 4 ) )	XXXX680 XXXXXXX649 XXXXXXXX817 XXX4280 XXXXXXXXXXXXXX695 XXXXX5749	XXXXXXXXXXXXXX10759 XX63873 X65362 XXXXXXXXXX47055 X13 XXXXXXXXXXXX05	1 const0,X
b-1_t-cat_id-44	these strings should begin with const0 or const1 followed by either a capital const2 or lowercase const3 . repeat those instructions to make 2 more characters . you may add 1 or more capital const4 on the end .	concat ( or ( const0 , const1 ) , concat ( or ( const2 , const3 ) , concat ( or ( const0 , const1 ) , concat ( or ( const2 , const3 ) , optional ( repeatatleast ( const4 , 1 ) ) ) ) ) )	*a*BYYYYYYYYYYYYY *a*aYYYYYYYYYYYYYYYY *a^aYY *a^BYYYYYYYYYYYYY *a^aYYYYYYYYYYYYYYYY *B^BYYYYYYYYYYYYYY	*a^TYYYYY *e*aYYYYYYYYYY ^z^BYYYYYYYY *B*TYYYYY	5 const0,^ const1,* const2,B const3,a const4,Y
b-1_t-cat_id-44	a list of 5 strings . the first strings consists of const0 and second strings consists of const1 and 3 strings consists of const0 and 4 strings consist of const1 and final strings consist of 1 + const2 .	concat ( or ( <^> , const0 ) , concat ( or ( const1 , <a> ) , concat ( or ( <^> , const0 ) , concat ( or ( const1 , <a> ) , optional ( repeatatleast ( const2 , 1 ) ) ) ) ) )	*a*BYYYYYYYYYYYYY *a*aYYYYYYYYYYYYYYYY *a^aYY *a^BYYYYYYYYYYYYY *a^aYYYYYYYYYYYYYYYY *B^BYYYYYYYYYYYYYY	*a^TYYYYY *e*aYYYYYYYYYY ^z^BYYYYYYYY *B*TYYYYY	3 const0,* const1,B const2,Y
b-1_t-cat_id-48	these strings start with const0 and have more than 1 letter .	concat ( const0 , repeatatleast ( <let> , 1 ) )	PIhLDCEEEXY PbVQWACSMIyIUcaCpR PnNfeNkjrikm PEnSSmnAQTyCPJuLz Pna PnNfeNkjriMs	P P P P	1 const0,P
b-1_t-cat_id-5	a list of 2 string . the first string consist of 2 - 4 letter and final string consist of const0 and that is optional	concat ( repeatrange ( <let> , 2 , 4 ) , optional ( or ( <-> , const0 ) ) )	ryDN ws# ryD- uwJH- uwJl- ws-	hbMon- VCV& rcWA$ hbMon# hbMoV# rccr$	1 const0,#
b-1_t-cat_id-50	a string starting with 2 to 3 letters followed by 2 to 3 lowercase letters followed by 3 to 4 capital letters	concat ( repeatrange ( <let> , 2 , 3 ) , concat ( repeat ( <low> , 3 ) , repeatrange ( <cap> , 3 , 4 ) ) )	nxnknrUKZK JLvxoVVIC nxCesuCTHH HXlzrVVQ JyHwqhUZW JLLxpyTAM	XjirINGA PlzsmLJDPW FxmtjdiAPXW PJvwyQSNAJ NlHoiLYNW pmaoAIHX	0
b-1_t-cat_id-58	a list of 5 strings . first strings consists of 3 - 4 letter and second string consists of 1 - 4 lowercase and third strings consists of 3 - 4 letter and 4 strings consists of 1+capita + and final strings consists of 3 - 4 letter .	concat ( repeatrange ( <let> , 3 , 4 ) , concat ( optional ( repeatrange ( <low> , 1 , 4 ) ) , concat ( repeatrange ( <let> , 3 , 4 ) , concat ( optional ( repeatatleast ( <cap> , 1 ) ) , repeatrange ( <let> , 3 , 4 ) ) ) ) )	XwOEDjcZYOJYBVTI SubwRgNjFXUHWGpml mszLiZJPeNMMCAGVLWC mszLiZJPeNMMCAGVLfS YCmBIpNFJFWPXERoVY ZXhwbMpDtdqi	VJHEEexpJDiiRWUudBU GJreRmEgqQsWJ	0
b-1_t-cat_id-59	3 characters that are not digits that can be followed by at least 1 characters that are either letter or digits . lastly either 2 digits or 2 capital letters	concat ( repeat ( notcc ( <num> ) , 3 ) , concat ( optional ( repeatatleast ( or ( <let> , <num> ) , 1 ) ) , or ( repeat ( <num> , 2 ) , repeat ( <cap> , 2 ) ) ) )	DcLPsTM6KUd70 -$&AC91 P_%segclG43877ML673 @#&j0BSAH19lD4313 ,..N2eR3K58KI0QU bGjiQl2EvXA	jm42CM Oz99	0
b-1_t-cat_id-65	a list 4 string . the first string consist of 3+capita + and second string consist of 3 + digit and third string consist of const0 and final string consist of 2 - 4 letter .	concat ( repeatatleast ( <cap> , 3 ) , concat ( repeatatleast ( <num> , 3 ) , concat ( or ( const0 , <g> ) , repeatrange ( <let> , 2 , 4 ) ) ) )	MLWTMF6362817NVF ZHX617822gxRkC UYL17023292112NdoMy UYL17023292112Ndobx MLWTMF6362817NVn ZKQ4687NOB	SW9925840NSHzv LQ47036403gAKev NJTVU71grbz CAV564609423279310NP EJV9882531NIFVzl BDMZVDWXHMV76gLF	1 const0,N
b-1_t-cat_id-68	a list of 5 strings . the first strings consists of 2 - 4 capital and second strings consists of 3 - 4 const0 and third strings consists of lowercase and 4 strings consists of 2 - 4 capital and final strings consists of 3 - 4 letter .	concat ( repeatrange ( <cap> , 2 , 4 ) , concat ( repeatrange ( const0 , 3 , 4 ) , concat ( optional ( <low> ) , concat ( repeatrange ( <cap> , 2 , 4 ) , repeatrange ( <let> , 3 , 4 ) ) ) ) )	AXE000KEUIm KLRT0000tWVQCUMNk IQ000uNCPIigXs AXE000KEUIV MJIH000EURGADHv KLRT0000tWVQCUMhn	Q000tDFKjFOO JZN00dRFiAA LV0000ehTOoZV S0000pVHETzcTd N0000hXRBQwFdM RSBR00000HWWplBA	1 const0,0
b-1_t-cat_id-69	a list of third string . the first string consist of 2 + lowercase and second string consist of 3 - 4 const0 and final string consist of 1 - 4 const1	concat ( repeatatleast ( <low> , 2 ) , concat ( repeatrange ( const0 , 3 , 4 ) , repeatrange ( <b> , 1 , 4 ) ) )	lxnyqomdvpgTTTTbb ethyhidnxTTTbbbb unTTTTbb bsdlqzsvTTTbbb sasodxcvkymtlxTTTTb ethyhidnxTTTTbbb	phpkwdxrTTTbbbbb yzrTTb ozwypcnzxktddTTb elfTTTbbbbb wyuxuTTTbbbbb dhyvibTTTbbbbb	2 const0,T const1,B
b-1_t-cat_id-71	a list of 3 string . the first string consist of 1 - 4 lowercase and second string consist of 2 letter and final string consist of 1 - 4 lowercase .	concat ( repeatrange ( <low> , 1 , 4 ) , concat ( repeat ( <let> , 2 ) , repeatrange ( <low> , 1 , 4 ) ) )	mwmpGg jbjcpbrftt gfylblrl gfylOIao mROqe mwmpnm	tztuqSfpyob acLgymfqp nylanxUiw ahnplwKj jWqyvhhn evHLhznbx	0
b-1_t-cat_id-75	3 lower case letters followed by more than 3 letters .	concat ( repeat ( <low> , 3 ) , repeatatleast ( <let> , 3 ) )	fsuhoRdKRUGrFIRj iptHLAdpPnKUXPrWo vzaYtMELVhRzLq iilrcgrSl notQqOBmXIZCJDk gswokWBJKRrMdkCNPRkp	qmnVF qmnVa irmPp irmwY qmnyA	0
b-1_t-cat_id-77	there are 5 strings . first strings consist by 3 or more digit numeric value . second string consist by 2 or more lowercase . third string consist by 2 to 4 capital letters . fourth string consist by 2 or more const0 letter . last string consist by 4 const1 .	concat ( repeatatleast ( <num> , 3 ) , concat ( repeatatleast ( <low> , 2 ) , concat ( repeatrange ( <cap> , 2 , 4 ) , concat ( repeatatleast ( const0 , 2 ) , repeat ( const1 , 4 ) ) ) ) )	177jyEFXDIIIIIffff 241zwINKIIIffff 303htnyiEZKBIIIffff 9795mdTTILIIffff 7138yamXWEHIIffff 241zwINDPIIffff	9783tkuuxvogIGDIffff 0880coaNNHIIIfff 15535vFVIIffff 829ouezXZPIffff 994iCBIHIIIIIffff 2439lulXTIffff	2 const0,I const1,f
b-1_t-cat_id-77	a list of 5 strings . the first strings consist of 3 + digit and second strings consists of 2 + lowercase and 3 strings consists of 2 - 4 capital and 4 strings consists of 2 + const0 and final strings consists of 4 const1 .	concat ( repeatatleast ( <num> , 3 ) , concat ( repeatatleast ( <low> , 2 ) , concat ( repeatrange ( <cap> , 2 , 4 ) , concat ( repeatatleast ( const0 , 2 ) , repeat ( <f> , 4 ) ) ) ) )	177jyEFXDIIIIIffff 241zwINKIIIffff 303htnyiEZKBIIIffff 9795mdTTILIIffff 7138yamXWEHIIffff 241zwINDPIIffff	9783tkuuxvogIGDIffff 0880coaNNHIIIfff 15535vFVIIffff 829ouezXZPIffff 994iCBIHIIIIIffff 2439lulXTIffff	2 const0,I const1,F
b-1_t-cat_id-78	a list of 3 strings first string consist of 2 capital letters and the second strings has 2 - 3 letters final and third string consist of 1 - 3 letters .	concat ( repeat ( <cap> , 2 ) , concat ( repeatrange ( <num> , 2 , 3 ) , repeatrange ( <let> , 1 , 3 ) ) )	GC271w GC271Z IA420lSU IA420lqf HA992Mb IA420lqW	BTU489RNX EM5Bsr BTU489RNm KT78MTnf TZ17 SNU52Uq	0
b-1_t-cat_id-8	a string starting with const0 or const1 followed only by at least 1 capital letters	concat ( or ( const0 , const1 ) , repeatatleast ( <cap> , 1 ) )	LL LXJVX LWST LVNIRQFXTTLI LVRPMSZTXQDZEHCD QKEO	TBSJBKYMJLUAWDD XECXKELPTNSWNKQ Q L XHVKQLZCG TRPUZONSKWLUWEFPUB	2 const0,Q const1,L
b-1_t-cat_id-81	2 to 4 digits that can be followed by 1 to 3 lower case letters or digits	concat ( repeatrange ( <num> , 2 , 4 ) , optional ( repeatrange ( or ( <low> , <num> ) , 1 , 3 ) ) )	153p4 201l4h 66ku 201lpd 555 153pf	60731a23 4v87 48576m0k 60731a2t 48576m08 7f	0
b-1_t-cat_id-84	2 to 3 capital letters followed by 3 to 4 characters that can be either digits or capital letters	concat ( repeatrange ( <cap> , 2 , 3 ) , optional ( repeatrange ( or ( <num> , <cap> ) , 3 , 4 ) ) )	TR962 GON129J LV ODCKC0 GON12C2 GON12CR	N76K QHDL8G62 MJ2U QHDL8G6N VXQT QHDL8GCS	0
b-1_t-cat_id-85	consecutive sets of either const0 or const1 which you may separate with const2 if you choose . end the string with 3 or more numbers if you like or just leave them off .	concat ( or ( const0 , const1 ) , concat ( optional ( <l> ) , concat ( or ( const0 , const1 ) , optional ( repeatatleast ( <num> , 3 ) ) ) ) )	scygd232 gdlscy833791687 gdlgd825041883566634 gdgd5369009739260 scylgd24254688 gdlgd	gdscy66 scyllscy074 scygd88 gdlgh scyllscy58910754 scyllgd	3 const0,gd const1,scy const2,|
b-1_t-cat_id-87	a string starting with 4 not lowercase characters , continuing with 1 to 3 digits , then 3 to 4 lowercase letters and ending with 3 letters	concat ( repeat ( notcc ( <low> ) , 4 ) , concat ( repeatrange ( <num> , 1 , 3 ) , concat ( repeatrange ( <low> , 3 , 4 ) , repeat ( <let> , 3 ) ) ) )	PI:C433gfrDku *XBO860gdorHlZ R-P44nzdotga *XBO860gdorHEq *XBO860gdorHld PI:C433gfrDAU	SL7L_3noecmc 33-06816feiwFjz 6FFNE546sunkcgJ OH.!11evonsaSn 7AAW5185lhdpRiV V0%3R9ucyOwq	0
b-1_t-cat_id-88	a list of 5 strings . the first strings consist of 3 - 4 lowercase and second strings consist of 1 - 2 capital and 3 strings consists of const0 and 4 strings consists of 1 - 3 capital and final last strings consists of 3 + lowercase .	concat ( repeatrange ( <low> , 3 , 4 ) , concat ( repeatrange ( <cap> , 1 , 2 ) , concat ( or ( const0 , <4> ) , concat ( repeatrange ( <cap> , 1 , 3 ) , repeatatleast ( <low> , 3 ) ) ) ) )	ruawG5DLgwg mvdoL4PPLtyye bauBB5Erlccyyhtb gtuF5Cnrxiaungrxvg ublrN5Zsecqgkltlsqlr tluxT5Epjr	sulWZD5FZTrhsocwly vzhV8OQkzo pmgzkF5Vnpo ftlYQ2ICBlsccydretb tgaxoEO4Rjmjaz patafXP5DGvgsqcdsmd	1 const0,5
