problem_id	description	regex	pos_examples	neg_examples
b-1_t-cat_id-12	A LIST OF FIVE STRINGS. THE FIRST STRING CONSIST OF 3+ 'h' AND SECOND STRING CONSIST OF 1-3 'O' THAT IS OPTIONAL AND THIRD STRING CONSIST OF 2 DIGIT AND FOURTH STRING CONSIST OF 3-4 CAPITAL AND FINAL STRING CONSIST OF 3+ 'h'.	concat(repeatatleast(<h>,3),concat(optional(repeatrange(<O>,1,3)),concat(repeat(<num>,2),concat(repeatrange(<cap>,3,4),repeatatleast(<h>,3)))))	hhhhhhO69MWIhhhh hhhhhO22BFNhhhhhhhhh hhh27TZSIhhhhhhhhhh hhh25SNYChhhh hhhhhhO30OIShhhhhhh hhhh42ATPhhh	hhhhhhhhOOO12NSOIhh hhh18GOICKhhh hhhhO323FAThhhhhhh hhhhO91RAQNQhhhhh hh59NVDhhhh hhhhhhhhhOO60FQCPhh
b-1_t-cat_id-13	there are the only two part of the strings. The first part of the string consist 2 or more 'n' .  the next part of the contains the 1 to 4 lowercase.	concat(repeatatleast(<n>,2),repeatrange(<low>,1,4))	nnbd nnnnnz nnnnnnehnm nnnnnnnnnnnn nnnnnnnnnnnnnqm nnnnnnnnnnnnnnnn	ndvre nnnnnnnnnnnvyenp nffs nv
b-1_t-cat_id-13	A string which starts with more than 2 letters n and it ends with 1 to 4 lowercase letters	concat(repeatatleast(<n>,2),repeatrange(<low>,1,4))	nnbd nnnnnz nnnnnnehnm nnnnnnnnnnnn nnnnnnnnnnnnnqm nnnnnnnnnnnnnnnn	ndvre nnnnnnnnnnnvyenp nffs nv
b-1_t-cat_id-14	A string starts with 4 lowercase characters and ends with a capital letter. In between, there is another sequence of 4 lowercase characters, preceded by 1 or 2 letters and followed by 3 or 4 extra letters.	concat(repeat(<low>,4),concat(repeatrange(<let>,1,2),concat(repeat(<low>,4),concat(repeatrange(<let>,3,4),<cap>))))	ymxmDghcaaEeO xvbunSfuumGYzHC xvbunSfuumGYFGX ymxmDghcaawlI qqehuKbwumZhyC xvbunSfuumGYzaM	fxifEkgudfJy krbaGeKsqdvqIUP mfwpmdOqpxmEQOQK tvwlkHfzqnmjHn twoziJPlbenFguR yuuyDljdNCGTF
b-1_t-cat_id-14	The string starts with 4 lowercase letters followed by 1 to 2 letters and then 4 lowercase letters after which there are 3 to 4 letters. The string ends with a capital letter.	concat(repeat(<low>,4),concat(repeatrange(<let>,1,2),concat(repeat(<low>,4),concat(repeatrange(<let>,3,4),<cap>))))	ymxmDghcaaEeO xvbunSfuumGYzHC xvbunSfuumGYFGX ymxmDghcaawlI qqehuKbwumZhyC xvbunSfuumGYzaM	fxifEkgudfJy krbaGeKsqdvqIUP mfwpmdOqpxmEQOQK tvwlkHfzqnmjHn twoziJPlbenFguR yuuyDljdNCGTF
b-1_t-cat_id-18	a list of two strings.first string consist of 1 or more digit numeric.last string consist of 'NU' or 'DG' that is optional	concat(repeatatleast(<num>,1),optional(or(const(<NU>),const(<DG>))))	60866077 88NU 441482789193022NU 12905763316935NU 1901147360 77856340589691620NU	49440156991124WJ DG 6999950493417118ZCZ 56656431929230750WJ 8315ZCZ 1747486ZCZ
b-1_t-cat_id-18	A string that starts with one or more digits and optionally ends with 'NU' or 'DG'.	concat(repeatatleast(<num>,1),optional(or(const(<NU>),const(<DG>))))	60866077 88NU 441482789193022NU 12905763316935NU 1901147360 77856340589691620NU	49440156991124WJ DG 6999950493417118ZCZ 56656431929230750WJ 8315ZCZ 1747486ZCZ
b-1_t-cat_id-19	There are list of four strings.  First string consist 1+ lowercase.  Second string consist digit or letter. Third string consist 3+ letter. And last string consist 2 '5' numeric value.	concat(repeatatleast(<low>,1),concat(or(<num>,<let>),concat(repeatatleast(<let>,3),repeat(<5>,2))))	j3Fva55 dHBetKx55 hFVhUQZjZInqmcHSYz55 bOLgUacOfitvsDj55 dJDsEahEleIbXDtjP55 j2cKPD55	hlzWni5 uvw0fcR555 gqstvvtclobbi6wz55 8fqXOBcet55 hxv9eLsxF5 uvw0fNK555
b-1_t-cat_id-19	"This pattern can be formed by any string that starts with one or more lowercase letters, followed by a digit or letter, another three or more letters, and ends with exactly two ""5"" digits."	concat(repeatatleast(<low>,1),concat(or(<num>,<let>),concat(repeatatleast(<let>,3),repeat(<5>,2))))	j3Fva55 dHBetKx55 hFVhUQZjZInqmcHSYz55 bOLgUacOfitvsDj55 dJDsEahEleIbXDtjP55 j2cKPD55	hlzWni5 uvw0fcR555 gqstvvtclobbi6wz55 8fqXOBcet55 hxv9eLsxF5 uvw0fNK555
b-1_t-cat_id-21	A string starts with a sequence of at least 1 uppercase letter K, followed by at least 2 lowercase letters, another sequence of at least 1 uppercase letter K and finally the digit 4 or 7.	concat(repeatatleast(<K>,1),concat(repeatatleast(<low>,2),concat(repeatatleast(<K>,1),or(<4>,<7>))))	KKKKoyeflKKKK7 KjxKKKKKKKKKKKKKKK4 KKyoqgcKKKKK4 KwiKKKKKKKKKKKKKKKK4 KmcKK7 KgbKKKK4	uhqujKKKKKKKK7 Kgxwvkxjtrxz4 KKKKdKKK7 KKkjdkgowbuixf7 KKttqnzcsfigg7 KKeni7
