problem_id	description	regex	pos_examples	neg_examples
b-1_t-cat_id-0	"a list of 5 strings . a first string consist a single digit . second string consist 3 "" h "" . followed by a 2 lowercase optional . fourth string consist 3 + capital . last 1 is followed by a "" J """	concat ( <num> , concat ( repeat ( <h> , 3 ) , concat ( optional ( repeat ( <low> , 2 ) ) , concat ( repeatatleast ( <cap> , 3 ) , <J> ) ) ) )	5hhhpvRTIWJFHFJ 2hhhpfTHTJVJDIHXJIJ 4hhhCAGFJ 4hhhCAGJJ 4hhhrnSKOJJ 4hhhrnSKOCJ	2hhGLAMJLZJGYTWJESJ 2hhhhHOMSOWJZFAHJJ hhhpoGLMJDJJ 5hhhIHSLQELB 9hhhqwrFMFVWFHJGWWJ 1hhhkkBSY
b-1_t-cat_id-0	"the pattern starts with a digit followed by 3 "" h "" . after that comes an optional 2 lowercase letters followed by a required 3 plus capital letters . the string ends with a capital "" J "" ."	concat ( <num> , concat ( repeat ( <h> , 3 ) , concat ( optional ( repeat ( <low> , 2 ) ) , concat ( repeatatleast ( <cap> , 3 ) , <J> ) ) ) )	5hhhpvRTIWJFHFJ 2hhhpfTHTJVJDIHXJIJ 4hhhCAGFJ 4hhhCAGJJ 4hhhrnSKOJJ 4hhhrnSKOCJ	2hhGLAMJLZJGYTWJESJ 2hhhhHOMSOWJZFAHJJ hhhpoGLMJDJJ 5hhhIHSLQELB 9hhhqwrFMFVWFHJGWWJ 1hhhkkBSY
b-1_t-cat_id-0	"a string which starts with number followed by 3 letter "" h "" and then 2 lowercase letters which are optional that are followed by more than 3 capital letters . the string ends with "" J "" ."	concat ( <num> , concat ( repeat ( <h> , 3 ) , concat ( optional ( repeat ( <low> , 2 ) ) , concat ( repeatatleast ( <cap> , 3 ) , <J> ) ) ) )	5hhhpvRTIWJFHFJ 2hhhpfTHTJVJDIHXJIJ 4hhhCAGFJ 4hhhCAGJJ 4hhhrnSKOJJ 4hhhrnSKOCJ	2hhGLAMJLZJGYTWJESJ 2hhhhHOMSOWJZFAHJJ hhhpoGLMJDJJ 5hhhIHSLQELB 9hhhqwrFMFVWFHJGWWJ 1hhhkkBSY
b-1_t-cat_id-1	""" A "" list of 3 strings . first string consist 1 - 2 "" A "" . next string consist 3 - 4 capital that is optional . last string consist 1 - 2 "" A "" that is optional ."	concat ( repeatrange ( <A> , 1 , 2 ) , concat ( optional ( repeatrange ( <cap> , 3 , 4 ) ) , optional ( repeatrange ( <A> , 1 , 2 ) ) ) )	AAQQO AAA AAALFJAA AAAHN AUACHA AAPJKWAA	AAMHNPU AAS AAWDEHKAA
b-1_t-cat_id-1	"this pattern matches any string that starts with 1 or 2 "" A "" capital letters , followed optionally by 3 or 4 capital letters , and/or optionally another 1 or 2 "" A "" capital letters"	concat ( repeatrange ( <A> , 1 , 2 ) , concat ( optional ( repeatrange ( <cap> , 3 , 4 ) ) , optional ( repeatrange ( <A> , 1 , 2 ) ) ) )	AAQQO AAA AAALFJAA AAAHN AUACHA AAPJKWAA	AAMHNPU AAS AAWDEHKAA
b-1_t-cat_id-1	""" A "" string starting with 1 - 2 "" A "" , then has an optional 3 - 4 capitals followed by an optional 1 - 2 "" A "" ."	concat ( repeatrange ( <A> , 1 , 2 ) , concat ( optional ( repeatrange ( <cap> , 3 , 4 ) ) , optional ( repeatrange ( <A> , 1 , 2 ) ) ) )	AAQQO AAA AAALFJAA AAAHN AUACHA AAPJKWAA	AAMHNPU AAS AAWDEHKAA
b-1_t-cat_id-10	"a string starting with any letter , followed by 3 capital letters , the digit "" 8 "" , then 2 to 3 digits "" 6 "" and finally a sequence of at least 3 letters ."	concat ( <let> , concat ( repeat ( <cap> , 3 ) , concat ( <8> , concat ( repeatrange ( <6> , 2 , 3 ) , repeatatleast ( <let> , 3 ) ) ) ) )	rLID866exFicRZKR iNNW866EOooq FHHD866AGYOQuF rLID866exFicRZKo tGJI866ImTTeeBHzFh KLFN866LrxrLQqS	vLAT566KfzPryMFvQc GHDG8666PU lLFS8666kR TXQ8666vUiW JLKB566wiuEPJwZt VIIP866Bs
b-1_t-cat_id-10	"this pattern matches any string that starts with a letter , followed by 3 capital letters , a "" 8 "" digit , 2 or 3 "" 6 "" digits , and ends with 3 or more letters ."	concat ( <let> , concat ( repeat ( <cap> , 3 ) , concat ( <8> , concat ( repeatrange ( <6> , 2 , 3 ) , repeatatleast ( <let> , 3 ) ) ) ) )	rLID866exFicRZKR iNNW866EOooq FHHD866AGYOQuF rLID866exFicRZKo tGJI866ImTTeeBHzFh KLFN866LrxrLQqS	vLAT566KfzPryMFvQc GHDG8666PU lLFS8666kR TXQ8666vUiW JLKB566wiuEPJwZt VIIP866Bs
b-1_t-cat_id-10	"the string starts with a letter followed by 3 capital letters and then number "" 8 "" after which there are 2 to 3 number "" 6 "" . the last part of the string has 3 or more letters ."	concat ( <let> , concat ( repeat ( <cap> , 3 ) , concat ( <8> , concat ( repeatrange ( <6> , 2 , 3 ) , repeatatleast ( <let> , 3 ) ) ) ) )	rLID866exFicRZKR iNNW866EOooq FHHD866AGYOQuF rLID866exFicRZKo tGJI866ImTTeeBHzFh KLFN866LrxrLQqS	vLAT566KfzPryMFvQc GHDG8666PU lLFS8666kR TXQ8666vUiW JLKB566wiuEPJwZt VIIP866Bs
b-1_t-cat_id-11	"there are 3 strings . the first string is contains 1 or more "" U "" and the next string consist "" a "" or "" n "" and the last string 1 to 3 "" U "" that is optional"	concat ( repeatrange ( <U> , 1 , 3 ) , concat ( or ( <a> , <n> ) , optional ( repeatrange ( <U> , 1 , 3 ) ) ) )	UUUnU UUn UUaUUU UUaU UUUnUU UaUU	UUUt UUUtUUU UdUU UUUUaU UUUUn UUdUUU
